Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-04-07 01:55:01,TSLA,"352,82","360,59","362,59","352,05 x 200","352,82 x 100","346,64 - 367,70","217,80 - 498,83",77.469.635,61.296.293,"1,324B","1,91","326,69","1,08",22 abr 2026,--,--,"416,15"
2026-04-08 01:55:39,AAPL,"253,50","258,86","256,15","252,55 x 400","253,75 x 300","245,70 - 256,19","169,21 - 288,62",60.820.961,47.424.558,"3,726B","1,11","32,09","7,90",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,32"
2026-04-08 01:55:47,TSLA,"346,65","352,82","346,44","346,35 x 100","347,06 x 100","337,24 - 348,02","217,80 - 498,83",68.293.044,61.296.293,"1,301B","1,91","323,97","1,07",22 abr 2026,--,--,"416,15"
2026-04-09 01:47:27,AAPL,"258,90","253,50","258,51","258,46 x 200","258,97 x 300","256,53 - 259,75","169,21 - 288,62",39.655.304,47.424.558,"3,805B","1,11","32,73","7,91",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"295,32"
2026-04-09 01:47:36,TSLA,"343,25","346,65","363,80","342,57 x 100","350,60 x 400","339,67 - 364,50","217,80 - 498,83",78.262.380,61.296.293,"1,288B","1,91","323,82","1,06",22 abr 2026,--,--,"416,15"
2026-04-10 01:59:45,AAPL,"260,49","258,90","259,37","260,29 x 100","260,71 x 100","256,07 - 261,12","186,06 - 288,62",26.229.474,47.317.286,"3,829B","1,11","33,02","7,89",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,12"
2026-04-10 01:59:54,TSLA,"345,62","343,25","343,03","345,36 x 100","345,12 x 500","337,25 - 348,88","222,79 - 498,83",61.134.264,61.789.939,"1,297B","1,91","326,06","1,06",22 abr 2026,--,--,"416,15"
2026-04-11 01:49:37,AAPL,"260,48","260,49","259,95","260,20 x 100","260,63 x 200","259,02 - 262,19","189,81 - 288,62",28.217.892,47.058.888,"3,829B","1,11","33,01","7,89",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,12"
2026-04-11 01:49:45,TSLA,"348,95","345,58","346,29","344,15 x 200","348,97 x 400","342,74 - 350,36","222,79 - 498,83",50.310.339,61.619.030,"1,309B","1,91","323,10","1,08",22 abr 2026,--,--,"416,15"
2026-04-12 02:01:52,AAPL,"260,48","260,49","259,95","260,20 x 100","260,63 x 200","259,02 - 262,19","189,81 - 288,62",27.978.507,47.088.316,"3,829B","1,11","33,01","7,89",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,33"
2026-04-12 02:02:01,TSLA,"348,95","345,58","346,29","344,15 x 200","348,97 x 400","342,74 - 350,36","222,79 - 498,83",50.310.339,61.618.529,"1,309B","1,91","323,10","1,08",22 abr 2026,--,--,"416,15"
2026-04-13 02:06:26,AAPL,"260,48","260,49","259,95","260,20 x 100","260,63 x 200","259,02 - 262,19","189,81 - 288,62",23.433.118,47.110.941,"3,829B","1,11","33,01","7,89",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,33"
2026-04-13 02:06:35,TSLA,"348,95","345,58","346,29","344,15 x 200","348,97 x 400","342,74 - 350,36","222,79 - 498,83",50.310.339,61.618.529,"1,309B","1,91","323,10","1,08",22 abr 2026,--,--,"416,15"
2026-04-14 02:01:27,AAPL,"259,20","260,48","259,86","246,51 x 100","272,99 x 100","256,66 - 260,18","189,81 - 288,62",35.080.398,47.031.095,"3,81B","1,11","32,77","7,91",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,33"
2026-04-14 02:01:36,TSLA,"352,42","349,00","350,17","352,05 x 100","352,84 x 100","348,57 - 356,35","222,79 - 498,83",52.761.941,61.690.690,"1,322B","1,91","326,31","1,08",22 abr 2026,--,--,"415,30"
2026-04-15 01:58:07,AAPL,"258,83","259,20","259,10","246,23 x 100","272,30 x 100","257,19 - 261,93","189,81 - 288,62",39.378.346,47.195.496,"3,804B","1,11","32,80","7,89",30 abr 2026,"1,04 (0,40%)",9 feb 2026,"296,33"
2026-04-15 01:58:16,TSLA,"364,20","352,42","357,36","363,98 x 200","364,54 x 200","354,77 - 367,63","222,79 - 498,83",56.252.996,61.866.270,"1,367B","1,91","322,30","1,13",22 abr 2026,--,--,"415,30"
2026-04-16 02:05:55,AAPL,"266,43","258,79","258,10","266,13 x 100","266,58 x 200","257,82 - 266,56","189,81 - 288,62",49.686.657,46.824.635,"3,916B","1,11","33,68","7,91",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"296,46"
2026-04-16 02:06:03,TSLA,"391,95","364,16","366,80","391,75 x 300","393,01 x 200","362,50 - 394,65","222,79 - 498,83",113.152.672,62.755.566,"1,471B","1,91","332,16","1,18",22 abr 2026,--,--,"415,30"
2026-04-17 02:02:04,AAPL,"263,40","266,43","266,80","262,84 x 200","274,56 x 100","261,27 - 267,16","189,81 - 288,62",43.105.688,46.769.181,"3,871B","1,11","33,34","7,90",30 abr 2026,"1,04 (0,39%)",9 feb 2026,"296,46"
2026-04-17 02:02:12,TSLA,"388,90","391,95","393,81","389,18 x 200","389,27 x 200","381,80 - 394,06","222,79 - 498,83",63.153.286,62.772.860,"1,459B","1,91","356,79","1,09",22 abr 2026,--,--,"414,59"
2026-04-18 01:52:57,AAPL,"270,23","263,40","267,10","269,76 x 200","280,56 x 100","266,72 - 272,30","189,81 - 288,62",55.211.089,46.770.159,"3,972B","1,11","33,32","8,11",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,46"
2026-04-18 01:53:06,TSLA,"400,62","388,90","395,92","400,37 x 100","400,91 x 200","391,65 - 409,28","222,79 - 498,83",90.217.327,62.775.052,"1,503B","1,91","357,70","1,12",22 abr 2026,--,--,"414,59"
2026-04-19 02:06:15,AAPL,"270,23","263,40","267,10","269,76 x 200","280,56 x 100","266,72 - 272,28","189,81 - 288,62",55.211.089,47.004.750,"3,972B","1,11","34,25","7,89",30 abr 2026,"1,04 (0,38%)",9 feb 2026,"297,46"
2026-04-19 02:06:24,TSLA,"400,62","388,90","395,92","400,37 x 100","400,91 x 200","391,65 - 409,28","222,79 - 498,83",90.217.327,63.220.429,"1,503B","1,91","370,94","1,08",22 abr 2026,--,--,"414,59"
